    =======================================
     瘤窍枚档馒矫埃    滚胶矫埃      畴急
    =======================================
        07:19           07:29      切郴鉴券
        07:49           07:59      切郴鉴券
        08:23           08:33      切郴鉴券
        08:45           08:55      切郴鉴券
        09:23           09:33      切郴鉴券
        09:57           10:07      切郴鉴券
        10:15           10:25      切郴鉴券
        10:43           10:53      切郴鉴券
        11:06           11:16        流青
        11:37           11:47        流青
        11:52           12:02        流青
        12:23           12:33        流青
        12:51           13:01        流青
        13:26           12:36        流青
        13:38           13:48        流青
        13:51           14:01        流青
        14:19           14:29        流青
        14:34           14:34        流青
        15:22           15:32        流青
        16:11           16:21        流青
        16:30           16:40        流青
        17:09           17:19        流青
        17:57           18:07        流青
        18:10           18:20        流青
        18:42           18:52        流青
        19:05           19:15        流青
        19:21           19:31        流青
        19:42           19:52        流青
        20:12           20:22        流青
        20:47           20:57        流青
        21:09           21:19        流青
        21:33           21:43        流青
        21:47           21:57        流青
        22:26           22:36        流青
        22:52           23:02        流青
        23:33           23:43        流青
        24:17           24:27        流青
